Polski;Angielski
student 1 stopnia;undergraduate student
student 2 stopnia;postgraduate student
sko?czy? studia na;to graduate from ...
absolwent;a graduate
licencjat;undergraduate degree
tytu? naukowy doktora;PhD(doctorate)
doktorant;PhD/doctoral student
tytul magistra;Master of Science
tytul licencjata;Bachelor of Science
tytul magista - human;Master of Arts
tytul licencjata - human;Bachelor of Arts
wydzial;Faculty
keirunek studiow;Field of Study
specjalizacja;Specialization
dziekan;Dean
dziekanat;Dean's office
prodziekan;Vice-Dean
promotor;academic supervisor
opiekun naukowy;tutor
rektor;Rector
czesne;school/tutition fee
srednia ocen;average grade
stypendium;scholarship
wyklady;lectures
uczeszczac na wyklady;attend a lectures
wyk?adowaca;lecturer
zajecia/cwiczenia;classes
przedmioty;courses
akademik;dormitory
nowoczesna baza dydaktyczna;modern facilities
miasteczko studenckie;university campus
stypendium socjalne;finnancial aid
punkty ETCS;ETCS point
miec skonczone studia;to have a degree
dostac zaliczenie;to get a credit
przystapic do egzaminu;to take an exam
zdac/oblac egzamin;to pass/ fail an exam
przystapic ponownie do egzaminu; to retake an exam
egzamin pisemny;written exam
egzamin ustny;oral exam
byc na 1/2/3 roku studiow;to be in the first/second/third/final year
praca pisemna;written assignment
praca magisterska;master's thesis
praca doktorska;phD thesis/dissertation
studia stacjonarne;full-time study
studia niestacjonarne;part-time study
